ZipCode,GeographicAreaName,Under5,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80to84,over85,Median age (years)
 15863,ZCTA5 15863,403,670,528,454,532,552,540,578,771,471,602,820,816,973,692,374,432,443,47.5
 15864,ZCTA5 15864,0,2,2,7,4,2,0,3,11,0,9,4,4,3,5,2,0,3,41.9
 15865,ZCTA5 15865,9,0,11,14,20,12,5,4,1,17,15,10,14,53,36,4,0,39,64
 15866,ZCTA5 15866,151,184,271,293,160,98,165,204,203,176,141,155,129,85,51,61,36,44,34.5
 15867,ZCTA5 15867,139,200,222,174,89,127,132,60,137,211,135,201,189,136,70,69,46,78,42.5
 15868,ZCTA5 15868,257,300,308,332,326,397,199,325,265,301,325,433,581,583,327,262,112,225,48.7
 15869,ZCTA5 15869,38,65,57,89,66,72,45,57,46,64,75,96,141,111,54,79,33,35,52
 15870,ZCTA5 15870,144,55,98,129,76,137,84,71,136,103,127,122,99,192,53,153,33,32,44.8
 15871,ZCTA5 15871,31,52,14,23,3,5,33,50,31,10,87,63,77,82,47,25,5,13,53.7
 15872,ZCTA5 15872,63,55,104,134,71,65,66,75,117,87,89,163,137,120,148,95,54,54,50.5
 15873,ZCTA5 15873,54,74,62,45,55,61,45,49,69,41,137,57,153,158,82,58,48,30,53.3
 15874,ZCTA5 15874,244,181,249,163,147,159,186,144,171,219,217,234,265,272,221,148,52,58,45.5
 15875,ZCTA5 15875,72,92,57,34,60,36,79,35,26,48,73,65,53,81,28,48,14,21,39.6
 15876,ZCTA5 15876,37,73,66,33,8,28,38,78,31,42,14,30,27,36,42,20,6,14,37.4
 15877,ZCTA5 15877,70,84,78,120,132,59,73,114,57,143,74,137,125,83,60,41,70,53,45
 15878,ZCTA5 15878,98,125,164,211,74,158,121,161,110,201,150,188,245,156,60,65,55,45,43.7
 15879,ZCTA5 15879,55,86,44,108,60,34,83,55,46,69,72,98,92,92,54,49,43,10,45.4
 15880,ZCTA5 15880,44,41,27,38,45,43,97,13,42,15,73,56,43,32,34,44,39,0,40.9
 15881,ZCTA5 15881,426,368,211,445,633,414,375,313,246,220,340,483,422,416,395,229,154,156,38.6
 15882,ZCTA5 15882,62,53,45,86,41,92,65,13,80,98,112,52,80,58,82,61,28,14,47.4
 15883,ZCTA5 15883,121,149,98,144,66,132,150,80,64,119,196,171,191,166,116,120,85,57,49.7
 15884,ZCTA5 15884,18,0,6,5,18,3,0,0,9,2,2,15,11,16,4,0,9,0,46
 15885,ZCTA5 15885,29,29,55,16,46,31,38,49,18,25,97,99,103,58,49,23,29,14,53.8
 15886,ZCTA5 15886,7,8,5,0,42,14,7,12,4,16,1,49,18,5,3,2,0,0,42.4
 15887,ZCTA5 15887,0,11,0,0,7,0,0,0,0,12,0,0,6,5,0,7,0,0,46.5
 15888,ZCTA5 15888,0,3,11,10,0,0,12,0,0,4,11,2,4,0,0,3,0,9,32.8
 15889,ZCTA5 15889,80,50,61,56,43,94,43,29,20,65,70,89,73,22,27,34,39,5,38.2
 15890,ZCTA5 15890,25,1,10,17,26,22,9,10,3,35,18,18,25,40,54,40,6,15,58.2
 15891,ZCTA5 15891,136,105,165,104,142,137,155,223,146,134,133,239,246,154,168,120,62,60,45.1
 15892,ZCTA5 15892,183,254,245,157,257,336,341,362,136,182,246,341,396,281,260,237,186,217,45.7
 15893,ZCTA5 15893,92,135,160,137,88,112,63,85,71,96,115,142,109,83,84,68,43,26,38
 15894,ZCTA5 15894,136,193,202,202,183,60,194,167,218,216,224,268,201,190,232,120,141,73,46.5
 15895,ZCTA5 15895,39,51,44,18,42,49,32,43,23,15,15,29,29,24,17,4,12,14,33.2
 15896,ZCTA5 15896,442,722,618,1308,1626,475,549,760,603,660,833,612,678,706,698,363,257,350,37.5
 15897,ZCTA5 15897,742,515,372,410,223,164,253,223,236,237,178,285,381,331,297,203,66,260,35.2
 15898,ZCTA5 15898,30,20,9,11,15,9,14,17,12,5,37,22,18,17,14,7,17,6,48.3
 15899,ZCTA5 15899,106,98,89,53,70,59,69,48,50,55,29,49,91,65,47,14,9,19,32.6
 15900,ZCTA5 15900,340,677,293,505,252,354,148,264,582,238,623,294,423,552,349,245,86,34,42.8
 15901,ZCTA5 15901,127,85,91,99,38,123,187,63,114,92,99,150,85,76,71,71,64,17,41.2
 15902,ZCTA5 15902,160,47,47,0,35,46,69,0,0,0,46,0,0,0,0,0,0,0,12.4
 15903,ZCTA5 15903,1793,1850,2515,2389,2322,2576,3121,2970,2923,2448,2611,2375,2097,1938,1561,1269,741,1362,39.8
 15904,ZCTA5 15904,2069,1619,2195,3284,3237,2725,1958,2144,2354,2172,1935,2038,1975,2068,2325,991,906,947,37.9
 15905,ZCTA5 15905,0,0,8,10,4,0,0,64,15,2,3,13,13,9,5,0,0,6,38.8
 15906,ZCTA5 15906,1300,1568,1350,1653,1065,908,1300,1667,1594,1502,1943,2045,2065,1882,1067,859,531,565,45.1
 15907,ZCTA5 15907,125,15,0,0,0,270,88,0,0,0,0,0,5,7,105,40,152,246,72.3
 15908,ZCTA5 15908,52,72,66,117,76,60,84,75,59,91,119,115,102,135,113,65,56,59,50.3
 15909,ZCTA5 15909,226,222,165,162,60,250,375,237,121,265,293,305,489,377,250,133,65,163,49.9
 15910,ZCTA5 15910,836,1143,1469,1287,841,882,1197,1081,974,1242,1342,1610,1620,1094,1139,557,380,459,44.5
 15911,ZCTA5 15911,430,394,514,350,293,470,545,499,672,574,677,686,644,702,477,402,144,169,46.2
 15912,ZCTA5 15912,30,34,29,43,14,24,43,50,57,63,64,116,90,134,52,46,19,61,58.2
 15913,ZCTA5 15913,1671,1871,1492,2402,2410,1907,2165,1539,1813,1572,2034,2055,2105,1621,1424,1447,686,1755,41.1
 15914,ZCTA5 15914,192,227,249,253,249,145,198,189,208,302,229,278,227,219,147,75,53,56,40.6
 15915,ZCTA5 15915,60,103,145,192,114,66,56,85,81,223,115,172,119,93,129,46,32,15,45.6
 15916,ZCTA5 15916,752,975,1097,959,863,1265,1181,1357,1116,1233,1298,1315,1062,1208,592,401,254,235,40.5
 15917,ZCTA5 15917,241,182,256,282,125,129,293,148,183,182,263,320,420,178,164,94,56,40,44.2
 15918,ZCTA5 15918,76,34,31,1166,1080,15,20,68,28,66,19,22,2,3,0,0,19,0,20
 15919,ZCTA5 15919,131,97,56,155,246,310,89,309,251,68,295,280,333,270,200,46,80,59,44.8
 15920,ZCTA5 15920,0,0,0,0,60,0,0,0,0,56,44,14,45,0,14,7,10,16,51.4
 15921,ZCTA5 15921,30,37,39,32,7,23,9,41,11,23,181,27,34,30,12,12,17,22,52.2
 15922,ZCTA5 15922,449,470,345,389,377,298,288,396,434,716,584,637,578,578,366,370,230,140,47.6
 15923,ZCTA5 15923,745,765,1030,1277,1140,960,988,979,783,1706,1136,796,1677,819,709,692,304,517,43.7
 15924,ZCTA5 15924,72,213,232,167,288,80,233,199,45,305,117,211,147,157,64,122,16,41,36.3
 15925,ZCTA5 15925,31,43,27,34,46,21,42,20,33,57,56,32,102,116,72,55,29,17,55.8
 15926,ZCTA5 15926,1188,1520,1542,1116,975,1454,1390,1353,1611,1528,1565,1679,1678,1269,1040,651,444,314,42
 15927,ZCTA5 15927,149,106,78,69,118,50,69,72,35,66,72,35,10,30,28,18,14,15,24
 15928,ZCTA5 15928,479,362,612,475,463,768,613,439,635,447,507,495,598,308,465,244,173,101,38.5
 15929,ZCTA5 15929,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,-
 15930,ZCTA5 15930,203,212,133,117,128,145,146,203,88,113,170,143,186,171,122,96,49,41,39.2
 15931,ZCTA5 15931,27,11,23,0,56,0,25,0,64,0,53,0,0,0,0,0,0,0,33.5
 15932,ZCTA5 15932,2295,1944,2776,2084,2036,1854,2202,2487,2344,2148,2636,3113,3055,2431,2123,1464,1012,1171,44.1
 15933,ZCTA5 15933,434,199,129,204,386,593,442,353,410,336,339,662,450,378,273,174,47,49,40.9
 15934,ZCTA5 15934,1168,1184,1268,855,1225,1385,1122,1080,1242,1143,1495,1402,1369,1195,1130,856,548,540,43.3
 15935,ZCTA5 15935,226,298,210,315,188,159,294,248,216,310,214,272,197,197,202,133,69,94,39.5
 15936,ZCTA5 15936,1824,2122,1867,2228,1790,2032,1909,1932,2291,1732,1974,2005,2392,1858,1803,1032,610,417,40.3
 15937,ZCTA5 15937,339,274,268,258,105,172,177,164,213,113,105,204,146,171,111,65,40,37,32.4
 15938,ZCTA5 15938,223,192,279,266,220,189,165,222,305,209,213,175,322,170,204,99,66,92,41.5
 15939,ZCTA5 15939,280,295,227,205,156,85,230,152,202,171,187,231,133,174,185,85,57,90,38
 15940,ZCTA5 15940,2760,2743,2891,2422,1435,1653,3038,2746,3542,2617,2435,2748,3217,2657,1829,1500,701,1069,41.6
 15941,ZCTA5 15941,227,269,321,168,235,217,199,228,220,367,331,403,426,313,270,291,162,125,49.1
 15942,ZCTA5 15942,69,59,80,122,96,91,59,49,111,142,117,126,106,73,60,36,34,60,45.6
 15943,ZCTA5 15943,98,268,329,215,368,290,386,214,355,386,479,409,356,366,278,149,89,95,45.3
 15944,ZCTA5 15944,0,56,34,21,19,0,3,13,27,18,14,15,29,3,34,0,0,0,37.5
 15945,ZCTA5 15945,1655,2109,2507,2153,1660,3125,2591,2805,2049,2555,2233,2946,2299,2264,2275,1781,938,2062,43.1
 15946,ZCTA5 15946,0,0,0,0,11,13,0,0,0,0,0,0,8,0,0,0,0,0,29.4
 15947,ZCTA5 15947,1719,906,957,2004,1706,1919,1757,829,1134,1153,1411,1964,1431,1529,1059,712,478,755,39.3
 15948,ZCTA5 15948,59,51,114,177,148,82,46,96,87,102,143,52,108,86,90,36,50,72,41.2
 15949,ZCTA5 15949,448,505,343,447,268,612,452,462,356,398,488,623,714,411,367,203,375,173,43.7
 15950,ZCTA5 15950,57,64,111,89,42,71,69,53,78,62,75,77,72,54,53,13,16,42,39.4
 15951,ZCTA5 15951,433,481,315,505,272,320,460,657,343,317,358,400,490,430,357,305,228,253,40.2
 15952,ZCTA5 15952,218,288,204,297,277,205,248,274,194,273,372,226,260,302,164,143,61,54,41
 15953,ZCTA5 15953,206,155,200,266,245,148,300,89,226,227,238,184,227,279,118,103,44,18,41.3
 15954,ZCTA5 15954,128,46,46,26,28,7,86,89,18,31,29,23,50,107,133,45,8,16,41.1
 15955,ZCTA5 15955,145,201,93,235,349,264,319,231,145,303,387,490,193,191,164,90,133,35,45
 15956,ZCTA5 15956,275,301,353,250,212,454,382,319,165,278,294,433,262,264,346,165,99,118,39.3
 15957,ZCTA5 15957,851,1051,1483,1170,849,735,616,791,1176,1001,912,852,1017,1046,741,669,648,664,43
 15958,ZCTA5 15958,132,175,272,213,179,156,260,280,300,280,473,244,417,308,278,170,144,147,49.6
 15959,ZCTA5 15959,21,18,8,10,10,36,23,16,4,24,27,11,27,22,24,3,5,5,45.3
 15960,ZCTA5 15960,776,702,1014,862,678,1194,1299,951,1109,1096,1596,1457,1077,923,1018,380,212,282,43.7
 15961,ZCTA5 15961,5,18,2,13,6,3,5,17,3,7,13,13,9,6,2,0,1,0,36.6
 15962,ZCTA5 15962,331,588,632,470,210,263,215,432,324,366,425,294,292,244,265,160,61,108,37.4
 15963,ZCTA5 15963,388,442,453,328,427,456,421,507,356,500,525,580,533,426,333,226,158,102,42.2
 15964,ZCTA5 15964,20,5,4,1,24,21,10,10,9,10,3,14,5,4,4,6,0,1,31.1
 15965,ZCTA5 15965,0,0,0,0,0,43,0,0,0,0,80,0,0,0,0,0,0,0,54.2
 15966,ZCTA5 15966,0,0,0,0,5,8,0,0,0,0,0,0,10,0,0,0,0,0,25.8
 15967,ZCTA5 15967,1227,1499,1884,1543,1439,1228,1547,964,1323,1853,1483,1311,1450,1305,1086,594,517,1016,40.8
 15968,ZCTA5 15968,34,17,25,23,19,5,20,14,23,16,10,14,23,17,18,14,6,8,37.8
 15969,ZCTA5 15969,0,0,0,29,21,0,0,19,43,0,13,14,25,0,13,35,26,4,50.7
 15970,ZCTA5 15970,167,188,187,251,243,120,194,113,190,158,200,190,211,205,161,102,81,43,40.8
 15971,ZCTA5 15971,216,167,343,510,206,280,296,214,238,282,332,343,260,242,247,330,112,81,42.3
 15972,ZCTA5 15972,111,95,130,144,152,121,80,118,109,159,101,195,165,155,65,29,140,75,45.9
 15973,ZCTA5 15973,168,246,180,199,86,228,164,198,172,123,152,149,160,136,125,70,48,81,38.3
 15974,ZCTA5 15974,7,12,9,0,0,35,71,4,10,7,0,32,88,47,79,23,0,0,60.4
 15975,ZCTA5 15975,263,232,266,300,260,413,212,376,201,265,242,664,591,395,301,237,192,0,48.8
 15976,ZCTA5 15976,26,0,38,20,445,11,0,28,19,40,17,15,58,10,49,0,0,10,23.4
 15977,ZCTA5 15977,159,213,159,132,149,146,160,223,57,89,152,197,154,162,144,151,70,42,38.5
 15978,ZCTA5 15978,58,64,53,60,48,23,77,22,24,28,40,77,59,30,46,29,20,14,35.2
 15979,ZCTA5 15979,97,114,186,202,165,107,202,112,131,159,186,211,168,135,105,75,52,34,41.9
 15980,ZCTA5 15980,44,6,0,95,27,119,43,0,61,83,95,31,40,120,291,110,47,8,62.2
 15981,ZCTA5 15981,16,25,0,199,317,170,686,128,60,14,136,213,100,201,121,17,32,78,32.1
 15982,ZCTA5 15982,419,273,322,225,684,1421,771,537,642,366,227,542,586,308,401,227,83,139,34.8
 15983,ZCTA5 15983,1130,1471,1205,789,845,1345,780,843,691,595,877,653,519,379,356,194,142,109,28.7
 15984,ZCTA5 15984,2098,1814,2174,1106,1576,1119,1381,1092,1092,1069,1271,1354,793,876,488,536,318,54,31.2
 15985,ZCTA5 15985,2015,1955,1261,1656,2198,1963,1885,1689,1606,1114,1349,1514,1681,1550,1089,715,430,861,36.1
 15986,ZCTA5 15986,1458,1655,1373,1271,992,2207,1692,1732,1518,1764,1929,1430,1590,1366,987,1275,455,762,40.9
 15987,ZCTA5 15987,1722,2395,2078,1871,2496,2936,3070,2331,1673,2109,2169,2223,2870,2278,1566,1104,622,756,38.4
 15988,ZCTA5 15988,1777,2191,2308,2018,1731,1888,1889,3372,2293,2748,2382,2450,3193,3098,2679,976,557,819,44.4
 15989,ZCTA5 15989,677,441,947,876,769,754,879,702,620,831,709,1082,764,575,342,158,185,248,38.2
 15990,ZCTA5 15990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
 15991,ZCTA5 15991,1397,1760,1431,1614,1484,2187,1578,1748,1458,1890,1621,1634,1495,1055,1686,1062,837,1211,41
 15992,ZCTA5 15992,2129,1988,1904,1648,1788,1773,2522,1779,2107,2073,2344,1879,2645,1887,1672,1175,509,843,41.9
 15993,ZCTA5 15993,15,6,5,6,0,7,7,0,10,11,0,5,10,4,0,19,0,14,45.5
 15994,ZCTA5 15994,31,20,8,30,16,11,20,16,17,25,38,23,52,28,19,8,7,12,49.7
 15995,ZCTA5 15995,36,60,58,41,14,22,20,30,65,62,6,60,38,52,45,52,6,0,43.6
 15996,ZCTA5 15996,10,36,23,52,36,25,36,26,32,13,68,47,47,69,37,48,10,4,51.5
 15997,ZCTA5 15997,16,71,117,126,71,37,23,41,99,60,43,96,121,74,126,20,20,28,43.2
 15998,ZCTA5 15998,0,6,5,18,4,0,3,17,3,6,3,50,14,12,9,8,0,0,56.5
 15999,ZCTA5 15999,0,6,9,5,4,6,7,0,16,28,4,13,0,17,8,13,0,0,45.8
 16000,ZCTA5 16000,13,29,45,7,21,21,29,39,27,10,45,15,34,29,28,26,83,5,52
 16001,ZCTA5 16001,51,18,6,2,12,22,38,21,29,50,34,6,31,16,10,40,0,7,44.9
 16002,ZCTA5 16002,18,16,38,8,26,20,5,24,51,29,41,89,24,38,24,18,28,14,51.1
 16003,ZCTA5 16003,655,614,600,434,537,468,812,411,287,546,710,799,775,921,715,628,310,454,49.6
 16004,ZCTA5 16004,17,20,14,13,50,8,7,22,2,27,49,21,22,14,5,8,4,11,45.3
 16005,ZCTA5 16005,56,17,23,159,400,156,14,99,63,45,140,210,51,227,25,28,20,2,37.7
 16006,ZCTA5 16006,1362,1466,1497,1089,814,1223,1276,1374,1381,1344,1651,1609,1568,843,1028,632,334,444,41.5
 16007,ZCTA5 16007,83,97,67,69,48,108,90,32,82,75,48,48,58,68,42,49,18,24,34
 16008,ZCTA5 16008,24,120,34,111,61,116,47,83,118,87,83,77,94,57,44,106,29,26,42.3
 16009,ZCTA5 16009,0,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,61.2
 16010,ZCTA5 16010,239,212,249,339,291,244,287,247,292,333,369,439,407,373,302,283,116,141,47.4
 16011,ZCTA5 16011,67,0,96,94,166,55,50,59,0,16,40,0,100,11,66,20,0,15,26.1
 16012,ZCTA5 16012,578,531,352,427,331,653,466,371,433,488,533,666,777,487,403,363,306,151,45.2
 16013,ZCTA5 16013,55,41,54,240,229,100,100,97,90,103,74,116,117,101,65,76,26,42,36.3
 16014,ZCTA5 16014,86,67,108,90,105,104,66,110,81,119,131,181,163,128,69,127,31,44,48.5
 16015,ZCTA5 16015,7,8,25,20,0,5,7,20,4,16,11,13,29,12,0,14,7,9,46.7
 16016,ZCTA5 16016,285,225,274,167,255,246,164,162,172,248,185,177,307,283,114,64,34,43,38.4
 16017,ZCTA5 16017,596,733,725,745,730,603,487,614,624,618,896,936,840,603,522,407,237,219,41.9
 16018,ZCTA5 16018,91,99,42,29,99,39,75,47,49,58,125,127,99,111,73,75,53,107,54.1
 16019,ZCTA5 16019,137,157,111,117,117,127,132,79,109,112,91,199,239,114,145,98,61,25,44.9
 16020,ZCTA5 16020,26,40,36,73,60,15,31,47,28,109,16,38,28,16,6,5,27,0,38.6
 16021,ZCTA5 16021,0,0,0,0,0,0,0,0,0,0,0,4,3,51,95,58,82,178,81.1
 16022,ZCTA5 16022,12,28,21,19,18,13,5,17,15,28,38,41,24,11,13,16,11,21,50
 16023,ZCTA5 16023,0,0,0,0,0,0,0,0,0,42,0,0,0,36,0,0,0,0,-
 16024,ZCTA5 16024,0,2,0,0,3,2,4,0,0,9,3,0,0,1,3,8,0,0,48.6
 16025,ZCTA5 16025,280,236,392,275,216,268,270,90,298,232,161,201,309,127,110,37,83,76,31.7
 16026,ZCTA5 16026,64,33,15,36,30,61,34,9,15,16,29,48,28,18,6,3,8,7,28.7
 16027,ZCTA5 16027,0,13,26,75,0,20,1,6,25,41,54,20,20,0,0,30,66,134,59.2
 16028,ZCTA5 16028,67,34,58,71,70,38,60,62,50,81,70,64,50,113,82,104,16,17,48.4
 16029,ZCTA5 16029,1459,1607,1866,3104,3366,1247,2155,1852,1213,1509,1553,1447,1430,1277,1633,706,639,572,34.1
 16030,ZCTA5 16030,41,35,63,44,34,37,35,56,62,51,83,108,83,79,76,87,72,34,54.9
 16031,ZCTA5 16031,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
 16032,ZCTA5 16032,25,15,52,48,82,65,22,26,51,68,102,114,35,59,25,19,26,0,46.5
 16033,ZCTA5 16033,159,46,0,40,18,246,87,53,0,12,10,46,114,0,44,57,0,0,29.7
 16034,ZCTA5 16034,138,142,101,141,106,99,106,138,116,122,138,122,194,164,152,88,66,54,45.3
 16035,ZCTA5 16035,19,17,34,19,36,0,0,47,5,12,29,15,35,42,39,4,0,0,43.9
 16036,ZCTA5 16036,28,10,16,20,43,28,42,10,6,10,30,22,23,42,24,30,2,11,40.5
 16037,ZCTA5 16037,127,164,248,153,131,147,167,179,155,198,265,184,162,186,176,124,44,46,43.5
 16038,ZCTA5 16038,1207,2124,2112,2026,1230,1609,1430,2163,1969,1795,1942,1778,2098,1736,1483,879,465,841,41.7
 16039,ZCTA5 16039,37,15,17,18,28,64,81,10,31,12,28,33,11,25,37,11,3,0,31
 16040,ZCTA5 16040,282,254,285,331,313,185,226,223,239,206,356,284,298,247,233,120,83,36,40
 16041,ZCTA5 16041,83,76,100,50,224,366,94,105,90,80,194,162,247,197,100,75,42,101,45.7
 16042,ZCTA5 16042,14,23,40,47,27,10,19,14,64,26,15,10,30,8,11,7,7,8,38.7
 16043,ZCTA5 16043,142,164,264,120,187,216,146,192,155,140,256,208,308,151,78,67,30,21,39.3
 16044,ZCTA5 16044,18,35,17,32,49,36,35,15,60,60,22,29,44,37,23,51,0,13,44
 16045,ZCTA5 16045,354,179,380,320,190,401,422,231,255,214,326,379,528,619,250,209,158,179,46
 16046,ZCTA5 16046,95,93,322,113,101,33,107,110,62,288,105,76,93,154,86,50,18,62,42.2
 16047,ZCTA5 16047,0,0,6,0,2,19,12,0,2,10,0,27,26,15,12,5,0,25,61.1
 16048,ZCTA5 16048,882,588,1178,314,591,649,679,665,750,602,667,898,758,616,471,439,189,287,40.4
 16049,ZCTA5 16049,300,435,486,435,201,390,429,363,368,282,490,629,585,300,307,202,100,84,41.6
 16050,ZCTA5 16050,1715,1274,1670,1194,1233,1126,1713,1874,1170,1249,1678,2375,2466,1869,1723,799,788,697,46.3
 16051,ZCTA5 16051,276,488,666,474,416,501,352,427,483,612,597,870,576,618,553,369,176,90,47.2
 16052,ZCTA5 16052,28,57,57,16,12,23,50,24,46,17,15,27,19,26,18,3,14,6,32.9
 16053,ZCTA5 16053,62,19,14,10,33,9,0,14,28,96,10,10,10,0,10,0,0,0,41.4
 16054,ZCTA5 16054,874,674,582,494,463,476,1013,1093,482,809,679,1171,612,398,457,336,174,141,38.9
 16055,ZCTA5 16055,564,480,371,501,291,225,687,591,357,624,747,600,558,675,362,211,159,203,45.3
 16056,ZCTA5 16056,98,154,81,160,118,114,103,166,56,146,216,237,315,93,142,69,38,62,49.6
 16057,ZCTA5 16057,282,326,359,292,300,344,461,403,500,394,393,595,570,446,148,197,115,36,42.8
 16058,ZCTA5 16058,2,1,2,4,11,8,5,9,12,0,5,5,14,3,0,0,0,0,38.7
 16059,ZCTA5 16059,189,215,283,95,122,153,288,138,208,275,159,317,374,449,304,209,77,115,51.2
 16060,ZCTA5 16060,1137,1353,1174,2902,2535,1200,1383,1693,1288,1337,1823,2043,2361,1930,2074,1195,867,815,44.5
 16061,ZCTA5 16061,350,564,509,408,290,446,523,464,478,413,750,411,585,760,338,251,170,82,43.5
 16062,ZCTA5 16062,93,194,376,218,202,116,38,133,226,148,271,321,324,234,332,81,15,0,47.3
 16063,ZCTA5 16063,3269,3076,3395,3483,3375,3481,3402,2970,3065,3504,4124,3354,3631,3123,2576,2168,1388,1558,41.6
 16064,ZCTA5 16064,356,324,399,449,534,159,305,416,442,351,486,616,644,587,288,308,56,122,45.8
 16065,ZCTA5 16065,520,967,686,823,602,776,724,729,565,570,871,841,965,638,526,347,237,235,39.9
 16066,ZCTA5 16066,12,17,94,72,76,35,34,36,15,103,34,72,16,8,0,3,0,17,32.2
 16067,ZCTA5 16067,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,-
 16068,ZCTA5 16068,203,284,256,260,341,230,267,356,107,271,187,99,217,134,150,60,119,92,34
 16069,ZCTA5 16069,566,577,438,144,560,668,557,487,360,377,538,599,1008,587,452,219,40,126,43
 16070,ZCTA5 16070,266,535,376,465,178,289,518,223,466,482,755,332,453,471,147,204,105,167,43.3
 16071,ZCTA5 16071,410,410,446,438,460,460,332,395,416,631,637,436,491,600,550,288,251,344,47.6
 16072,ZCTA5 16072,662,608,1029,734,1032,752,734,717,671,856,812,920,799,847,596,837,439,298,43.3
 16073,ZCTA5 16073,96,80,77,222,33,38,47,83,73,161,211,85,52,65,62,20,40,15,44.3
 16074,ZCTA5 16074,211,109,162,221,133,120,87,153,162,298,147,267,335,249,127,44,21,24,46.8
 16075,ZCTA5 16075,26,3,14,37,41,26,19,3,16,40,2,15,44,13,11,5,2,4,32.9
 16076,ZCTA5 16076,898,1300,1730,1470,1248,1380,1452,1742,1294,1339,1499,2307,1317,1229,988,505,512,413,40.3
 16077,ZCTA5 16077,423,486,412,439,148,442,441,389,380,365,487,324,465,453,197,92,209,18,38.6
 16078,ZCTA5 16078,174,307,329,296,347,176,331,257,353,236,409,534,536,448,390,163,504,368,52.8
 16079,ZCTA5 16079,733,727,752,948,538,639,787,1072,806,1007,1138,892,1041,978,1171,537,164,235,45.6
 16080,ZCTA5 16080,270,302,604,518,620,502,400,329,548,495,966,828,627,556,554,278,234,176,48.8
 16081,ZCTA5 16081,161,130,238,368,147,284,165,200,408,198,200,245,312,239,191,92,33,82,42.1
 16082,ZCTA5 16082,81,141,158,75,110,70,222,168,145,114,183,207,271,121,169,72,80,85,49.3
 16083,ZCTA5 16083,334,447,398,564,230,427,318,709,276,378,352,370,505,257,327,118,117,42,37.5
 16084,ZCTA5 16084,345,297,479,294,336,415,391,413,380,510,329,431,679,517,262,136,142,97,43.4
 16085,ZCTA5 16085,206,300,333,641,256,413,241,370,340,370,545,473,515,376,431,58,135,76,44.6
 16086,ZCTA5 16086,36,17,4,9,26,16,82,14,42,5,17,46,9,7,14,15,6,4,33.8
 16087,ZCTA5 16087,161,211,252,269,192,196,185,235,195,317,349,341,319,266,152,68,103,40,45.4
 16088,ZCTA5 16088,1216,1130,958,1279,2222,1451,1318,1095,820,1293,1140,1065,797,872,736,313,177,162,32.6
 16089,ZCTA5 16089,1844,2762,2890,2212,2077,2177,2702,2832,2584,2277,1882,1718,2713,2093,1584,1428,1095,997,39
 16090,ZCTA5 16090,2112,2638,2461,3696,2995,2308,2368,2737,2423,2373,2658,2252,2312,2144,1529,1120,595,1293,38.1
 16091,ZCTA5 16091,2221,2192,3101,2592,2179,3073,2508,2376,2749,2482,2493,2360,2655,1837,1428,855,1007,741,38.1
 16092,ZCTA5 16092,1574,1260,1251,1437,1542,1637,1666,1491,1472,1521,1319,1521,1568,1419,1137,906,425,497,39.9
 16093,ZCTA5 16093,185,94,256,164,185,274,98,121,224,242,204,194,91,113,115,44,18,32,37.7
 16094,ZCTA5 16094,1313,1241,1218,1515,1219,1433,1436,1507,1172,1898,1599,1706,1661,1470,1207,879,699,673,44.6
 16095,ZCTA5 16095,450,314,259,213,153,568,239,178,219,252,211,412,269,343,247,156,115,41,37.6
 16096,ZCTA5 16096,132,143,65,121,145,153,231,115,87,182,262,385,107,233,26,38,12,46,46.7
 16097,ZCTA5 16097,0,0,19,0,30,0,9,0,0,23,0,0,0,19,32,10,0,0,46.6
 16098,ZCTA5 16098,199,139,346,182,110,194,126,72,94,77,162,114,98,98,74,32,27,12,28.4
 16099,ZCTA5 16099,37,0,0,77,0,0,100,58,50,0,34,25,0,10,0,0,0,0,34.6
 16100,ZCTA5 16100,0,0,0,0,37,0,0,0,0,0,0,54,67,0,0,0,0,0,58.8
 16101,ZCTA5 16101,27,169,64,145,16,23,63,19,62,63,126,15,75,60,60,52,13,0,38.5
 16102,ZCTA5 16102,653,510,418,463,317,324,396,234,210,331,120,230,245,189,143,118,90,77,27.4
 16103,ZCTA5 16103,812,969,961,1258,672,1262,995,1324,1167,642,1242,882,1620,1326,1059,682,296,875,43
 16104,ZCTA5 16104,140,325,230,254,357,330,199,175,244,241,572,627,487,362,181,131,59,38,49.8
 16105,ZCTA5 16105,737,1070,1082,1112,720,1059,741,909,870,996,1014,1280,1063,804,565,384,355,290,40.6
 16106,ZCTA5 16106,123,152,127,132,114,80,52,75,79,114,47,67,106,72,60,20,0,35,29.9
 16107,ZCTA5 16107,511,473,455,414,457,362,542,452,224,347,275,421,324,364,464,176,287,103,36.3
 16108,ZCTA5 16108,224,440,273,262,30,218,494,380,415,349,412,300,322,356,299,181,126,121,42.2
 16109,ZCTA5 16109,2195,2219,2005,1918,2224,2543,2782,2152,1557,1617,1658,2225,2048,1855,1547,1114,1039,1363,37.4
