ZipCode,GeographicAreaName,Under5,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80to84,over85,Median age (years)
 15684,ZCTA5 15684,326,521,188,752,475,463,556,149,563,690,425,902,849,649,342,263,125,140,46.3
 15685,ZCTA5 15685,32,30,6,15,6,22,33,22,13,24,32,41,41,42,57,6,17,8,53.6
 15686,ZCTA5 15686,107,203,93,117,43,125,122,127,61,237,287,121,162,216,155,114,65,76,49.5
 15687,ZCTA5 15687,5,6,35,25,0,9,0,7,0,29,9,15,9,16,16,2,0,0,46.2
 15688,ZCTA5 15688,178,222,300,290,134,158,257,233,121,230,338,349,262,219,123,101,174,94,44.8
 15689,ZCTA5 15689,151,233,211,296,184,163,223,181,259,263,202,397,385,417,330,205,136,131,50.8
 15690,ZCTA5 15690,162,120,172,168,260,166,156,210,152,193,297,215,277,327,207,106,108,105,47
 15691,ZCTA5 15691,4,9,13,11,17,21,12,2,8,10,12,28,15,10,5,12,5,7,46.3
 15692,ZCTA5 15692,721,949,881,959,512,502,844,851,763,743,586,818,1167,734,717,381,211,235,40.4
 15693,ZCTA5 15693,0,0,29,9,0,0,0,0,0,30,9,51,21,0,25,0,0,0,57
 15694,ZCTA5 15694,316,225,232,197,354,323,346,270,263,367,318,454,320,356,261,139,103,149,44.6
 15695,ZCTA5 15695,373,339,239,306,263,176,134,186,115,139,174,232,152,157,51,70,21,34,26.7
 15696,ZCTA5 15696,104,83,51,87,42,161,121,34,78,79,120,199,141,103,149,44,21,23,48.3
 15697,ZCTA5 15697,15,81,41,24,29,77,55,27,19,23,46,51,74,93,43,69,21,13,50.5
 15698,ZCTA5 15698,311,375,339,476,443,301,449,314,342,530,630,450,600,582,429,416,147,126,47.5
 15699,ZCTA5 15699,66,33,15,48,55,21,23,59,30,62,39,59,66,71,66,20,36,11,47.8
 15700,ZCTA5 15700,570,454,677,515,333,314,418,609,584,580,658,815,1023,655,526,315,142,67,47.1
 15701,ZCTA5 15701,184,296,255,221,93,143,286,241,111,108,296,197,264,145,149,162,55,47,37.6
 15702,ZCTA5 15702,93,102,86,63,78,44,65,47,49,73,135,133,115,94,22,18,9,0,42.9
 15703,ZCTA5 15703,0,0,0,558,440,4,0,0,0,0,0,0,0,0,0,0,0,0,19.8
 15704,ZCTA5 15704,0,0,0,0,70,253,367,312,224,234,215,173,151,62,37,50,0,6,41.6
 15705,ZCTA5 15705,0,0,32,102,243,152,84,38,23,104,66,219,176,326,35,16,0,54,53.7
 15706,ZCTA5 15706,743,796,1170,1097,1847,1335,1249,810,732,714,764,1069,881,808,540,495,147,370,32.8
 15707,ZCTA5 15707,1162,810,1348,1541,1435,1357,1426,988,988,1053,983,924,691,551,269,275,104,160,31
 15708,ZCTA5 15708,828,795,923,1040,1367,1489,1081,922,841,656,1107,832,1018,780,750,922,259,393,37.4
 15709,ZCTA5 15709,768,868,435,889,508,783,960,1073,1000,962,1107,1166,1318,1700,1063,556,390,590,49.1
 15710,ZCTA5 15710,1375,1274,1483,1518,1107,1366,1627,1346,1206,1601,1566,1857,1641,1717,1287,781,753,696,44.4
 15711,ZCTA5 15711,400,495,409,774,1328,1042,515,353,311,611,639,373,558,450,234,120,188,196,30.3
 15712,ZCTA5 15712,859,965,986,726,663,1027,1269,1245,880,784,714,938,1063,1038,645,312,340,347,38
 15713,ZCTA5 15713,1416,1598,1574,1343,1620,1824,1803,2363,1482,1268,1957,1968,1538,1721,1798,1179,895,804,41.9
 15714,ZCTA5 15714,1392,1972,1711,1890,1437,1400,1246,1671,1458,1497,1444,1785,2005,1626,1176,789,427,345,39.8
 15715,ZCTA5 15715,897,801,1009,788,541,663,693,878,479,540,620,705,788,680,386,457,277,353,36.6
 15716,ZCTA5 15716,0,0,0,718,402,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6
 15717,ZCTA5 15717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
 15718,ZCTA5 15718,0,0,0,977,553,13,0,0,0,0,0,0,0,0,0,0,0,0,19.6
 15719,ZCTA5 15719,1577,2228,1753,2945,1637,1782,2346,1973,1902,1956,2349,2157,2215,2159,1908,1179,474,629,41
 15720,ZCTA5 15720,1564,1399,2000,1258,2146,1823,1727,1561,1554,1803,1659,2072,1830,1413,1478,946,845,735,41.3
 15721,ZCTA5 15721,73,187,174,191,296,98,49,168,240,166,204,195,172,135,111,98,42,57,41.6
 15722,ZCTA5 15722,42,86,97,49,58,88,133,80,61,69,107,84,155,95,95,177,30,21,50
 15723,ZCTA5 15723,0,5,19,3,6,0,6,4,4,10,13,15,19,3,2,0,21,4,54.7
 15724,ZCTA5 15724,129,132,170,222,77,93,142,225,192,214,154,239,131,146,173,85,66,25,44
 15725,ZCTA5 15725,19,42,42,24,19,24,6,12,29,32,13,15,6,12,11,9,0,0,27.9
 15726,ZCTA5 15726,10,11,31,18,8,23,11,36,16,25,64,36,12,30,15,16,13,12,50.9
 15727,ZCTA5 15727,46,37,50,24,68,39,14,41,40,39,49,47,37,38,31,23,30,12,41.2
 15728,ZCTA5 15728,0,0,3,17,0,0,0,0,2,12,0,4,5,14,10,12,6,0,64.8
 15729,ZCTA5 15729,7,24,19,38,31,21,18,16,28,64,31,23,45,26,34,20,8,45,48.9
 15730,ZCTA5 15730,16,7,14,3,5,6,8,23,12,8,11,22,28,12,17,8,0,4,49.5
 15731,ZCTA5 15731,140,245,211,275,144,109,308,173,309,221,167,361,243,169,186,291,88,48,44.5
 15732,ZCTA5 15732,95,82,85,110,154,117,83,113,150,177,79,198,143,130,141,61,28,107,47
 15733,ZCTA5 15733,153,218,224,451,511,220,209,248,294,223,350,269,382,363,269,143,107,211,43
 15734,ZCTA5 15734,0,0,0,0,12,0,0,0,0,5,5,0,0,0,9,0,7,0,51.4
 15735,ZCTA5 15735,36,72,8,20,19,21,62,13,12,13,17,48,28,3,14,3,3,0,32
 15736,ZCTA5 15736,5,19,17,8,13,2,10,32,5,5,19,13,22,8,28,12,29,4,52.2
 15737,ZCTA5 15737,518,459,910,943,614,571,639,539,974,607,763,573,1170,1036,678,455,301,481,44.8
 15738,ZCTA5 15738,111,49,143,62,38,33,60,87,63,113,32,88,51,35,45,21,29,21,36.6
 15739,ZCTA5 15739,71,160,136,73,74,102,98,150,34,114,118,281,279,286,252,97,78,15,55.9
 15740,ZCTA5 15740,2,23,10,0,0,0,10,2,6,9,0,4,7,4,6,2,1,1,34.8
 15741,ZCTA5 15741,87,92,33,77,28,100,145,24,63,107,131,107,125,99,64,55,34,59,49.1
 15742,ZCTA5 15742,96,66,23,34,10,82,54,34,32,53,80,43,61,56,85,42,7,31,46.8
 15743,ZCTA5 15743,147,113,172,148,90,120,209,80,136,163,233,167,201,157,99,44,51,58,44.1
 15744,ZCTA5 15744,2,0,4,13,33,1,3,4,13,6,31,20,15,5,6,7,22,5,51.6
 15745,ZCTA5 15745,123,69,96,81,146,158,100,125,121,81,196,125,129,184,116,120,79,125,49.3
 15746,ZCTA5 15746,20,48,126,71,16,15,29,64,85,33,62,43,51,38,41,36,12,16,41.6
 15747,ZCTA5 15747,630,778,693,783,393,689,852,858,813,945,847,1333,1152,846,1019,820,556,540,49.4
 15748,ZCTA5 15748,51,156,83,122,21,123,117,75,127,167,114,107,169,107,133,76,33,8,45.6
 15749,ZCTA5 15749,195,133,196,239,258,459,533,548,470,628,564,554,301,251,210,134,76,116,43.8
 15750,ZCTA5 15750,634,664,595,1182,1290,989,1079,1010,807,987,913,1086,1146,1105,857,634,339,417,42.5
 15751,ZCTA5 15751,0,0,0,0,124,274,243,314,338,199,158,168,97,55,5,0,0,0,40.7
 15752,ZCTA5 15752,73,60,65,75,73,47,62,76,56,142,113,42,149,79,92,43,22,42,48.2
 15753,ZCTA5 15753,52,62,49,49,127,61,56,50,95,44,81,131,108,61,48,48,50,19,44.7
 15754,ZCTA5 15754,64,73,50,123,57,55,94,39,66,77,83,84,131,64,100,118,54,56,49.8
 15755,ZCTA5 15755,13,27,21,0,4,8,9,15,7,12,14,8,12,5,6,0,8,4,39.1
 15756,ZCTA5 15756,51,36,53,57,24,31,52,59,50,46,139,72,86,30,23,44,60,10,50
 15757,ZCTA5 15757,348,412,314,293,286,329,281,248,324,157,273,312,632,363,296,296,205,285,44.9
 15758,ZCTA5 15758,162,216,178,189,130,107,105,136,103,141,128,179,111,104,43,102,49,10,35.3
 15759,ZCTA5 15759,29,4,52,44,1,29,46,10,18,52,32,14,12,7,7,15,5,1,31.8
 15760,ZCTA5 15760,77,87,145,159,123,151,89,154,108,248,250,218,263,327,162,57,95,87,52
 15761,ZCTA5 15761,55,86,123,80,43,66,7,59,137,12,125,98,150,65,53,164,27,0,50.6
 15762,ZCTA5 15762,228,291,100,220,152,289,157,231,158,288,156,250,337,266,200,121,58,62,43.7
 15763,ZCTA5 15763,109,161,187,146,98,86,62,107,142,160,187,124,146,164,120,71,76,39,44.9
 15764,ZCTA5 15764,16,0,0,6,8,15,4,0,5,2,0,0,3,6,3,4,0,6,28.5
 15765,ZCTA5 15765,20,13,14,18,31,49,17,14,13,40,20,46,33,29,21,8,6,12,47.4
 15766,ZCTA5 15766,9,0,14,11,12,16,0,4,0,17,35,12,16,26,6,16,0,0,52.5
 15767,ZCTA5 15767,219,294,275,357,326,438,240,271,269,396,348,337,475,222,329,167,127,86,43.6
 15768,ZCTA5 15768,31,18,54,34,15,45,42,32,45,30,26,53,29,47,39,12,12,17,43
 15769,ZCTA5 15769,7,4,4,12,0,6,3,3,0,5,6,0,8,17,19,2,2,2,56
 15770,ZCTA5 15770,16,19,0,10,64,6,0,42,0,0,49,0,95,0,0,0,0,0,36.8
 15771,ZCTA5 15771,123,157,106,108,179,122,90,144,153,95,106,183,195,207,188,139,69,65,46.6
 15772,ZCTA5 15772,36,36,22,12,8,37,28,33,15,18,36,44,60,79,31,44,56,30,58.7
 15773,ZCTA5 15773,4,25,48,29,3,14,17,24,18,24,27,12,35,11,23,13,12,17,43.5
 15774,ZCTA5 15774,23,0,0,33,30,49,0,0,5,5,23,30,0,0,10,0,0,8,26.8
 15775,ZCTA5 15775,6,8,21,18,19,8,15,18,19,27,25,37,40,40,18,14,12,5,52.3
 15776,ZCTA5 15776,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,21,20,0,77.3
 15777,ZCTA5 15777,44,8,54,0,3,4,7,74,5,15,15,29,15,12,10,3,11,8,37.9
 15778,ZCTA5 15778,753,778,782,764,850,1049,689,757,861,730,967,802,790,1042,594,293,162,391,40.5
 15779,ZCTA5 15779,28,16,15,22,43,20,19,11,14,8,15,16,42,16,31,20,8,6,40.3
 15780,ZCTA5 15780,12,15,10,13,2,15,13,26,18,15,34,20,21,26,22,16,27,5,52.6
 15781,ZCTA5 15781,77,94,102,59,33,42,70,16,101,30,70,36,33,51,30,31,11,26,32.3
 15782,ZCTA5 15782,237,204,222,311,206,334,286,283,212,250,307,261,325,206,238,126,53,51,39.7
 15783,ZCTA5 15783,24,29,36,57,30,12,2,40,4,12,21,12,27,17,4,4,13,4,23.3
 15784,ZCTA5 15784,119,87,60,35,53,108,85,15,46,60,55,61,56,41,36,20,10,22,30.9
 15785,ZCTA5 15785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
 15786,ZCTA5 15786,687,847,975,1294,1154,1043,1029,849,1058,1180,1136,1262,1202,1048,693,654,319,370,42.4
 15787,ZCTA5 15787,55,90,88,70,36,36,68,51,73,72,99,76,114,93,68,51,38,59,49.4
 15788,ZCTA5 15788,3,2,2,0,11,17,4,0,0,15,0,9,6,9,2,0,5,0,46.9
 15789,ZCTA5 15789,0,33,0,0,0,0,7,10,0,0,12,0,13,0,0,0,0,0,34.6
 15790,ZCTA5 15790,0,17,35,14,14,40,17,30,39,49,24,53,105,20,27,20,8,6,52
 15791,ZCTA5 15791,87,27,0,0,0,69,0,28,0,0,0,0,0,5,0,0,0,3,7.7
 15792,ZCTA5 15792,21,31,41,53,52,50,17,11,39,62,53,78,63,44,29,10,21,14,46.8
 15793,ZCTA5 15793,0,0,0,0,0,0,4,0,0,0,0,0,38,0,0,0,0,0,61.9
